name,rating,hours,categories,address
backbar,4.5 star rating,Closed;5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day),Cocktail Bars,"7 Sanborn Ct, Somerville, MA 02143"
Icon Night Club,2 star rating,Closed;Closed;Closed;10:30 PM - 2:00 AM (Next day);10:30 PM - 2:00 AM (Next day);10:30 PM - 2:00 AM (Next day);Closed,Dance Clubs,"100 Warrenton St, Boston, MA 02116"
The Druid,4.5 star rating,12:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day),Irish Pub,"1357 Cambridge St, Cambridge, MA 02139"
Legacy,3 star rating,,Dance Clubs,"275 Tremont St, Boston, MA 02116"
Aeronaut Cannery,4 star rating,Closed;Closed;6:00 PM - 11:00 PM;6:00 PM - 11:00 PM;5:00 PM - 12:00 AM (Next day);2:00 PM - 12:00 AM (Next day);1:00 PM - 6:00 PM,Breweries;Beer Bar,"199 Ashland St, Everett, MA 02149"
Lucky Strike Fenway,2.5 star rating,4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 1:00 AM (Next day);4:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);12:00 PM - 12:00 AM (Next day),Bowling;Venues & Event Spaces;Arcades,"145 Ipswich St, Boston, MA 02215"
The Friendly Toast,3.5 star rating,8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 3:00 PM,Breakfast & Brunch;Bars,"50 Independence Way, Danvers, MA 01923"
Oberon,4 star rating,12:00 PM - 5:00 PM;12:00 PM - 5:00 PM;12:00 PM - 5:00 PM;12:00 PM - 5:00 PM;12:00 PM - 5:00 PM;12:00 PM - 5:00 PM;12:00 PM - 5:00 PM,Performing Arts;Bars,"2 Arrow St, Cambridge, MA 02138"
Four-Handed Illusions: An Intimate Evening of Laughs and Wonder,5 star rating,Closed;Closed;Closed;Closed;8:00 PM - 10:00 PM;3:00 PM - 10:00 PM;3:00 PM - 10:00 PM,Performing Arts;Comedy Clubs;Magicians,"84 Beacon St, Library Room - The Hampshire House"
Yvonne's,4 star rating,5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day);5:00 PM - 1:00 AM (Next day),American (New);Lounges,"2 Winter Pl, Boston, MA 02108"
City Bar,4 star rating,4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day),American (New);Cocktail Bars,"65 Exeter St, Boston, MA 02116"
Midway Cafe,4 star rating,4:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);3:00 PM - 2:00 AM (Next day);3:00 PM - 2:00 AM (Next day),Music Venues;Bars;Karaoke,"3496 Washington St, Jamaica Plain, MA 02130"
