name,rating,hours,categories,address
Skin & Body Works,4.5 star rating,Closed;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 7:00 PM;10:00 AM - 4:00 PM;Closed,Skin Care;Waxing;Massage Therapy,"77 Holland St, Somerville, MA 02144"
exhale® Battery Wharf,4 star rating,9:00 AM - 7:30 PM;9:00 AM - 7:30 PM;9:00 AM - 7:30 PM;9:00 AM - 7:00 PM;9:00 AM - 7:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM,Day Spas;Barre Classes;Yoga,"2 Battery Wharf, Boston, MA 02109"
Rhyme of Korea,4.5 star rating,10:00 AM - 6:30 PM;10:00 AM - 6:30 PM;10:00 AM - 6:30 PM;10:00 AM - 6:30 PM;10:00 AM - 6:30 PM;10:00 AM - 6:30 PM;10:00 AM - 6:30 PM,Cosmetics & Beauty Supply,"72 Kneeland St, Boston, MA 02111"
Sasa Adventures Beauty & Spa,4 star rating,10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM,Day Spas,"42 Essex St, Boston, MA 02111"
Bluemercury,4.5 star rating,10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;11:00 AM - 6:00 PM,Cosmetics & Beauty Supply;Day Spas,"160 Newbury St, Boston, MA 02116"
Kelly's Beauty,5 star rating,10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;9:30 AM - 5:30 PM;9:30 AM - 5:30 PM,Skin Care;Waxing,"101 Arch St, Ste 874"
La Moon Thai Spa,5 star rating,10:30 AM - 8:30 PM;10:30 AM - 8:30 PM;10:30 AM - 8:30 PM;10:30 AM - 8:30 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM,Day Spas;Massage;Waxing,"220 Concord Ave, Fl 1"
Carman's Beauty Salon,4 star rating,10:00 AM - 4:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;9:00 AM - 6:00 PM;8:00 AM - 6:00 PM;Closed,Hair Salons,"764 Huntington Ave, Boston, MA 02115"
Ashmont Nails and Spa,1.5 star rating,,Nail Salons;Eyelash Service;Hair Removal,"1913 Dorchester Ave, Boston, MA 02124"
Le's Beauty Salon,4 star rating,9:30 AM - 8:00 PM;9:30 AM - 8:00 PM;9:30 AM - 8:00 PM;9:30 AM - 8:00 PM;9:30 AM - 8:00 PM;9:30 AM - 8:00 PM;9:30 AM - 8:00 PM,Hair Salons;Makeup Artists;Skin Care,"10 Kneeland St, Boston, MA 02111"
Nails Spa By Time,3 star rating,10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;9:00 AM - 6:00 PM;Closed,Nail Salons;Hair Salons,"712 Huntington Ave, Boston, MA 02115"
Oasis Massage Therapy,4.5 star rating,10:30 AM - 7:00 PM;10:30 AM - 7:00 PM;10:30 AM - 7:00 PM;10:30 AM - 7:00 PM;10:30 AM - 7:00 PM;Closed;Closed,Massage Therapy;Day Spas,"976 Main St 2FL, Waltham, MA 02451"
Fragrance Day Spa,5 star rating,10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM,Day Spas,"99 Harrison Ave, Boston, MA 02111"
Venus Spa,5 star rating,10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;9:30 AM - 6:00 PM;Closed,Skin Care;Day Spas;Massage,"50 Meridian St, Ste B1"
Bodywaves Therapeutic Massage,4.5 star rating,9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM,Massage,"145 Hanover St, Fl 3"
Beauty & Soul Spa,5 star rating,10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;Closed,Skin Care;Acne Treatment;Massage Therapy,"157 Main St, Everett, MA 02149"
The Bella Boutique Spa,4.5 star rating,9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 6:00 PM;10:00 AM - 4:00 PM,Day Spas;Waxing;Massage,"296 Walnut St, Newton, MA 02460"
Kiehl's Since 1851,3.5 star rating,10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;12:00 PM - 6:00 PM,Cosmetics & Beauty Supply;Skin Care,"112 Newbury St, Boston, MA 02116"
