name,rating,hours,categories,address
The Distillery,5 star rating,9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;Closed,Art Galleries,"516 E 2nd St, South Boston, MA 02127"
Jacques Cabaret,4 star rating,11:00 AM - 12:00 AM (Next day);11:00 AM - 12:00 AM (Next day);11:00 AM - 12:00 AM (Next day);11:00 AM - 12:00 AM (Next day);11:00 AM - 12:00 AM (Next day);11:00 AM - 12:00 AM (Next day);11:00 AM - 12:00 AM (Next day),Performing Arts;Cabaret,"79 Broadway, Boston, MA 02116"
Emerson Paramount Center,5 star rating,Closed;12:00 PM - 6:00 PM;12:00 PM - 6:00 PM;12:00 PM - 6:00 PM;12:00 PM - 6:00 PM;12:00 PM - 6:00 PM;Closed,Performing Arts,"559 Washington St, Boston, MA 02111"
Boston Seaport,5 star rating,10:00 AM - 9:00 PM;10:00 AM - 9:00 PM;10:00 AM - 9:00 PM;10:00 AM - 9:00 PM;10:00 AM - 9:00 PM;10:00 AM - 9:00 PM;10:00 AM - 9:00 PM,Shopping Centers;Men's Clothing;Art Museums,"101 Seaport Blvd, Boston, MA 02210"
21st Annual Sheep Shearing Festival,5 star rating,,Festivals,"52 Gore Pl, 52 Gore St"
Le Laboratoire Cambridge,4 star rating,Closed;Closed;11:00 AM - 7:00 PM;11:00 AM - 7:00 PM;11:00 AM - 7:00 PM;11:00 AM - 7:00 PM;Closed,Art Galleries,"650 E Kendall St, Cambridge, MA 02142"
Core Social Justice Cannabis Museum,3 star rating,11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM,Art Museums,"401A Centre St, Ste B"
Boston Wine Tours,4.5 star rating,Closed;Closed;Closed;Closed;Closed;3:00 PM - 5:00 PM;Closed,Wine Tasting Room;Wine Tours,"30 Rowes Wharf, Boston, MA 02110"
VERSUS,3.5 star rating,5:00 PM - 11:00 PM;5:00 PM - 11:00 PM;5:00 PM - 11:00 PM;5:00 PM - 11:00 PM;5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:00 PM - 11:00 PM,Arcades;Bars;American (Traditional),"42 Province St, Boston, MA 02108"
Fenway Victory Gardens,4.5 star rating,6:00 AM - 11:30 PM;6:00 AM - 11:30 PM;6:00 AM - 11:30 PM;6:00 AM - 11:30 PM;6:00 AM - 11:30 PM;6:00 AM - 11:30 PM;6:00 AM - 11:30 PM,Botanical Gardens,"1200 Boylston St, Boston, MA 02215"
Boston Opera House,4.5 star rating,10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;Closed;Closed,Opera & Ballet,"539 Washington St, Boston, MA 02111"
The Brattle Theatre,4.5 star rating,11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM,Cinema,"40 Brattle St, Cambridge, MA 02138"
Wine Riot,4 star rating,,Festivals;Wine Tasting Room,"130 Columbus Ave, Boston, MA 02116"
Pinot's Palette,4.5 star rating,9:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 5:00 PM,Art Classes;Paint & Sip;Party & Event Planning,"7A Meriam St, Lexington, MA 02420"
Anime Boston,5 star rating,Closed;Closed;Closed;Closed;12:00 PM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 3:00 PM,Festivals,"900 Boylston St, Boston, MA 02115"
Shakespeare on the Common,4.5 star rating,,Performing Arts,"Boston Common, Boston, MA 02116"
Foundation Room,4 star rating,Closed;Closed;5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);Closed,Music Venues;Lounges,"15 Lansdowne St, Boston, MA 02215"
Blue Hill Observatory Science Center,5 star rating,10:00 AM - 4:00 PM;10:00 AM - 4:00 PM;10:00 AM - 4:00 PM;10:00 AM - 4:00 PM;10:00 AM - 4:00 PM;10:00 AM - 4:00 PM;10:00 AM - 4:00 PM,Observatories,"1 Observatory Service Rd, Milton, MA 02186"
Rogue Burlesque,5 star rating,,Performing Arts,"2 Arrow St, Cambridge, MA 02138"
Boston Bowl - Dorchester,3.5 star rating,Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours,Bowling;Arcades;Venues & Event Spaces,"820 Morrissey Blvd, Boston, MA 02122"
The Red Room @ Cafe 939,3.5 star rating,6:30 PM - 11:00 PM;7:00 PM - 11:00 PM;7:00 PM - 11:00 PM;7:00 PM - 11:00 PM;7:00 PM - 11:00 PM;7:00 PM - 11:00 PM;Closed,Music Venues,"939 Boylston St, Boston, MA 02115"
Coit Observatory,4 star rating,,Observatories,"725 Commonwealth Ave, BU"
MOBA,4 star rating,10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;Closed,Museums;Art Galleries,N/A
Blue Man Group,4 star rating,,Performing Arts,"74 Warrenton St, Boston, MA 02116"
Simons IMAX Theatre,4 star rating,10:30 AM - 5:15 PM;10:30 AM - 5:15 PM;10:30 AM - 5:15 PM;10:30 AM - 5:15 PM;10:30 AM - 5:15 PM;9:30 AM - 6:15 PM;9:30 AM - 6:15 PM,Cinema,"1 Central Wharf, Boston, MA 02110"
USS Constitution Museum,4.5 star rating,10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM,Museums,"Bldg 22, Charlestown Navy Yard"
