name,rating,hours,categories,address
Cambridge Center Roof Garden,4.5 star rating,6:00 AM - 8:00 PM;6:00 AM - 8:00 PM;6:00 AM - 8:00 PM;6:00 AM - 8:00 PM;6:00 AM - 8:00 PM;6:00 AM - 8:00 PM;6:00 AM - 8:00 PM,Parks,"4 Cambridge Ctr, Cambridge, MA 02142"
Better Off Bowling,4.5 star rating,9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM,Bowling;Social Clubs,"50 Dalton St, Boston, MA 02115"
Community Ice Skating at Kendall Square,4.5 star rating,12:00 PM - 8:00 PM;12:00 PM - 8:00 PM;12:00 PM - 8:00 PM;12:00 PM - 8:00 PM;12:00 PM - 9:00 PM;11:00 AM - 9:00 PM;11:00 AM - 6:00 PM,Skating Rinks,"300 Athenaeum St, Cambridge, MA 02142"
Breakheart Reservation,4.5 star rating,,Parks,"177 Forest St, Saugus, MA 01906"
Seaport Common,4 star rating,Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours,Parks,"85 Northern Ave, Boston, MA 02210"
Solidcore South End,5 star rating,5:00 AM - 9:00 PM;5:00 AM - 9:00 PM;5:00 AM - 9:00 PM;5:00 AM - 9:00 PM;5:00 AM - 9:00 PM;5:00 AM - 9:00 PM;5:00 AM - 9:00 PM,Pilates,"345 Harrison Ave, Boston, MA 02118"
Back Bay Boxing,5 star rating,5:30 PM - 6:15 PM;Closed;6:30 PM - 7:15 PM;Closed;Closed;9:00 AM - 9:45 AM;Closed,Trainers;Boxing,N/A
Cashunt Boston,5 star rating,9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;10:00 AM - 5:00 PM;Closed,Party & Event Planning;Scavenger Hunts;Team Building Activities,"22 Clinton St, Boston, MA 02109"
Gilded Studio,5 star rating,9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;7:30 AM - 8:00 PM;10:00 AM - 5:00 PM;10:30 AM - 5:00 PM,Pilates;Pole Dancing Classes;Trainers,"540 Tremont St, Ste 6"
Boston Pole Fitness,4.5 star rating,9:00 AM - 10:00 PM;9:00 AM - 10:00 PM;9:00 AM - 10:00 PM;9:00 AM - 10:00 PM;9:00 AM - 10:00 PM;9:00 AM - 10:00 PM;9:00 AM - 10:00 PM,Pole Dancing Classes;Dance Studios;Yoga,"414 Cambridge St, Brighton , MA 02134"
Boston Harbor Walk,4.5 star rating,,Parks,"88 Black Falcon Ave, Boston, MA 02210"
Prospect Hill Park,4 star rating,,Parks,"322 Totten Pond Rd, Waltham, MA 02451"
Niav Connor,Rating,,Life Coach;Sex Therapists,N/A
Better Off Bowling,4.5 star rating,9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM,Bowling;Social Clubs,"50 Dalton St, Boston, MA 02115"
Martin’s Park,5 star rating,,Parks,"64 Sleeper St, Boston, MA 02210"
Watson Park I,3 star rating,,Parks,"7 Milford St, Boston, MA 02118"
PanIQ Escape Room - Boston,N/A,,,"130 Water St, Boston, MA 02109"
Social Boston Sports,3.5 star rating,6:00 AM - 12:00 AM (Next day);6:00 AM - 12:00 AM (Next day);6:00 AM - 12:00 AM (Next day);6:00 AM - 1:00 AM (Next day);6:00 AM - 2:00 AM (Next day);6:00 AM - 2:00 AM (Next day);6:00 AM - 12:00 AM (Next day),Amateur Sports Teams;Social Clubs,N/A
Snowport Winter Village,3 star rating,4:00 PM - 9:00 PM;4:00 PM - 9:00 PM;4:00 PM - 9:00 PM;4:00 PM - 9:00 PM;4:00 PM - 10:00 PM;11:00 AM - 10:00 PM;11:00 AM - 8:00 PM,Skating Rinks;Kids Activities,"65 Northern Ave, Boston, MA 02210"
Roberto Clemente Field,5 star rating,,Parks,"Clemente Field, Boston, MA 02215"
Cloud of Goods,N/A,6:00 AM - 9:00 PM;6:00 AM - 9:00 PM;6:00 AM - 9:00 PM;6:00 AM - 9:00 PM;6:00 AM - 9:00 PM;6:00 AM - 9:00 PM;6:00 AM - 9:00 PM,Party Equipment Rentals;Baby Gear & Furniture,N/A
Community Boating,4 star rating,Closed;Closed;1:00 PM - 7:00 PM;1:00 PM - 7:00 PM;1:00 PM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM,Boating;Rafting/Kayaking;Sailing,"21 David G Mugar Way, Boston, MA 02114"
Boston Common,4.5 star rating,,Parks,"Beacon St, Boston, MA 02139"
MetroRock,4 star rating,10:00 AM - 11:00 PM;7:00 AM - 11:00 PM;10:00 AM - 11:00 PM;7:00 AM - 11:00 PM;10:00 AM - 11:00 PM;9:00 AM - 10:00 PM;9:00 AM - 10:00 PM,Climbing;Gyms,"69 Norman St, Everett, MA 02149"
Boston Underground Strength Training,5 star rating,6:00 AM - 9:00 AM;4:30 PM - 7:30 PM;5:30 AM - 9:00 AM;5:00 PM - 8:00 PM;5:30 AM - 9:00 AM;4:30 PM - 7:30 PM;5:30 AM - 9:00 AM;5:00 PM - 8:00 PM;6:00 AM - 9:00 AM;4:30 PM - 6:30 PM;7:30 AM - 11:00 AM;Closed,Trainers;Gyms,"235 High St, Waltham, MA 02453"
Nahant Beach,3.5 star rating,Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours,Beaches,N/A
Lucky Strike Fenway,2.5 star rating,4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 1:00 AM (Next day);4:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);12:00 PM - 12:00 AM (Next day),Bowling;Venues & Event Spaces;Arcades,"145 Ipswich St, Boston, MA 02215"
Stodder's Neck,4.5 star rating,,Parks,"Lincoln St, Hingham, MA 02043"
Mirabella Pool,4 star rating,,Swimming Pools,"Commercial St, Boston, MA 02109"
Boston Gun & Rifle Association,5 star rating,2:00 PM - 10:00 PM;2:00 PM - 10:00 PM;2:00 PM - 10:00 PM;2:00 PM - 10:00 PM;2:00 PM - 10:00 PM;9:00 AM - 10:00 PM;9:00 AM - 5:00 PM,Gun/Rifle Ranges,"1483 Dorchester Ave, Dorchester, MA 02122"
Niav Connor,N/A,,Life Coach;Sex Therapists,N/A
Bachata Room,5 star rating,Closed;Closed;9:30 PM - 1:00 AM (Next day);Closed;Closed;Closed;Closed,Dance Clubs;Dance Studios,"450 Massachusetts Ave, La Fábrica Central"
Central Rock Gym - Boston,4.5 star rating,,Rock Climbing,N/A
Central Rock Gym,5 star rating,11:00 AM - 10:30 PM;7:00 AM - 10:30 PM;9:00 AM - 10:30 PM;7:00 AM - 10:30 PM;11:00 AM - 10:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM,Rock Climbing;Gyms;Kids Activities,"445 High St, Randolph, MA 02368"
East Boston Piers Park,4.5 star rating,9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM,Parks,"95 Marginal St, East Boston, MA 02128"
Mirabella Pool,4 star rating,,Swimming Pools,"Commercial St, Boston, MA 02109"
Preston Beach,5 star rating,,Beaches,"454 Atlantic Ave, Marblehead, MA 01945"
Middlesex Fells Reservation,4 star rating,,Parks,"4 Woodland Rd, Stoneham, MA 02180"
New England Aquarium Whale Watch,4 star rating,9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM,Aquariums,"1 Central Wharf, Boston, MA 02110"
PKL,N/A,4:00 PM - 9:00 PM;4:00 PM - 9:00 PM;4:00 PM - 9:00 PM;4:00 PM - 12:00 AM (Next day);12:00 PM - 12:00 AM (Next day);10:00 AM - 12:00 AM (Next day);10:00 AM - 10:00 PM,Pickleball,"345 Revolution Dr, Somerville, MA 02145"
Boston Public Garden,4.5 star rating,,Parks;Community Gardens,"4 Charles St, Boston, MA 02116"
North Point Park,4.5 star rating,,Parks;Recreation Centers,"6 Museum Way, Cambridge, MA 02141"
Boston Harbor Islands,4.5 star rating,9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM,Parks;Landmarks & Historical Buildings;Beaches,"191W Atlantic Ave, National Park Service"
Strayboots,4.5 star rating,10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM,Tours;Scavenger Hunts;Team Building Activities,"800 Boylston St, Boston, MA 02199"
